age,mileage,engine_size,horsepower,fuel_type,transmission_type,number_of_doors,brand_reputation_score,accident_history,fuel_efficiency,price
3,82061,1,200,1,0,2,5,0,33,36468
10,228512,4,458,1,0,4,5,3,19,29580
2,76275,2,336,1,1,4,4,4,23,37959
34,1002075,4,433,1,0,5,10,1,21,1000
24,795673,3,264,0,0,2,4,4,22,1000
22,421949,2,238,0,1,5,5,1,29,1000
11,325750,1,174,1,0,3,6,5,35,4343
18,412671,5,500,0,0,3,6,0,18,16685
27,476417,1,225,1,0,4,5,4,31,1000
20,352980,2,189,2,0,2,7,2,34,1000
14,198711,4,484,1,1,3,10,3,19,37006
21,657089,4,441,0,0,2,4,4,19,1000
13,571972,1,125,1,1,2,4,1,36,1000
33,468240,3,399,0,0,4,6,5,21,1000
4,58714,4,475,2,1,4,3,4,24,44060
7,265891,1,223,2,1,2,6,0,31,25582
9,197984,3,350,2,0,4,6,4,25,27889
19,741941,2,196,0,0,3,4,2,27,1000
15,587649,4,500,1,1,3,4,5,13,1108
21,497718,3,344,0,0,4,3,3,27,1000
32,466468,3,268,2,0,4,6,4,28,1000
11,162780,5,500,0,0,2,0,1,21,27541
8,155578,4,408,0,1,4,6,4,22,34936
0,0,4,432,2,0,2,8,2,21,62219
15,304755,4,487,2,1,5,6,5,21,20831
9,262619,3,410,1,1,5,5,1,19,29400
23,850009,2,287,2,1,4,4,4,29,1000
28,709132,3,339,1,1,5,5,5,24,1000
23,456214,1,153,1,0,5,8,3,32,1000
30,674212,3,298,1,1,3,7,1,29,1000
17,383508,3,388,0,0,3,7,0,27,13608
18,801944,4,421,0,0,3,6,1,18,1000
7,176029,3,351,0,1,2,3,1,25,27882
24,801811,4,500,1,1,2,0,3,16,1000
14,402530,4,500,1,0,4,5,2,17,17648
25,1035420,2,244,0,1,2,6,2,31,1000
30,645678,1,166,2,1,4,5,1,29,1000
9,257842,3,377,0,0,4,3,0,23,23143
6,134912,5,489,1,1,4,8,4,16,48096
21,303528,4,495,2,1,4,7,0,21,20793
9,300516,5,500,0,0,3,3,1,15,28596
31,680438,4,376,2,0,3,3,5,24,1000
22,335181,5,500,0,0,2,1,2,16,2438
19,418977,2,198,1,0,2,6,2,26,1000
19,227058,4,408,1,1,2,6,3,23,16039
7,70741,1,163,1,0,5,6,1,34,28867
5,128285,3,319,0,1,4,0,2,24,25456
21,573862,4,500,1,1,2,6,5,18,1000
4,87366,5,467,0,0,5,7,2,17,52164
9,262152,2,220,2,0,3,3,3,32,13848
23,816447,4,397,2,1,3,8,0,18,1000
17,590934,4,500,2,1,3,5,2,17,5276
8,142254,5,481,2,1,3,5,1,17,43557
15,371980,2,261,2,1,4,4,0,29,7391
12,263159,2,250,0,1,5,5,5,28,8511
2,53041,1,139,1,1,2,3,2,29,28966
23,232270,2,218,2,1,3,5,4,35,1000
3,62633,3,298,0,0,2,7,3,25,42158
3,78849,2,278,1,0,4,2,5,27,26801
27,934214,3,384,2,1,3,4,0,21,1000
12,364591,4,471,1,0,4,9,5,21,26289
18,475511,3,400,0,0,2,7,1,24,7102
1,17659,2,229,0,1,3,4,3,33,37507
9,147299,1,191,1,0,5,4,2,30,16826
17,456786,2,250,0,1,4,4,5,26,1000
18,558008,2,217,1,1,2,5,4,31,1000
23,784175,2,226,1,1,2,3,0,33,1000
33,757255,5,500,2,0,4,6,4,14,1000
23,612511,1,169,2,1,2,6,4,30,1000
0,0,1,209,0,1,4,7,3,30,42938
14,264428,2,266,2,1,3,6,3,34,12495
33,1130229,3,380,0,1,4,8,5,22,1000
29,565785,4,421,0,1,5,4,3,22,1000
29,719024,5,500,0,1,3,0,5,17,1000
19,523537,2,284,2,0,2,7,0,30,1000
13,251595,3,351,2,1,2,4,3,22,16021
25,529684,2,271,0,1,2,3,0,25,1000
18,635458,2,234,2,0,2,7,2,27,1000
24,297906,4,473,0,0,4,6,3,16,5075
19,630688,2,275,1,0,3,7,4,28,1000
25,548548,3,295,2,0,3,3,4,29,1000
27,753494,2,172,1,1,5,2,0,34,1000
20,588856,5,494,0,1,4,1,4,18,1000
10,66010,2,204,2,0,2,7,2,32,28595
29,485278,2,248,2,0,5,3,0,25,1000
28,889841,2,268,1,0,3,5,0,30,1000
12,278973,3,325,0,0,2,3,3,27,11326
27,532067,3,339,2,0,4,6,3,25,1000
21,822291,1,155,1,0,5,5,1,31,1000
4,126488,3,354,0,0,3,4,4,23,33373
17,497712,1,154,0,1,3,6,4,29,1000
4,102994,2,261,0,1,3,7,4,26,33003
12,419052,3,396,0,1,3,0,3,21,2319
25,482097,3,326,1,0,2,6,0,27,1000
21,768763,4,443,1,1,3,7,5,17,1000
24,541193,5,500,1,0,3,6,1,17,1349
20,491023,4,419,2,1,4,6,3,21,3372
24,764306,2,236,0,1,2,3,0,31,1000
21,562528,1,227,0,0,2,5,0,31,1000
33,566013,4,460,1,0,5,6,4,19,1000
6,164923,4,494,2,0,5,8,1,17,50449
0,0,3,424,1,0,5,4,4,23,49467
15,634684,4,460,0,1,3,4,5,19,1000
21,587363,4,470,0,0,5,4,0,20,1000
1,13586,3,308,2,1,2,5,0,24,50888
5,144470,2,183,0,0,3,7,3,33,29087
1,28610,4,492,2,1,5,8,3,13,60486
8,113294,4,376,2,1,5,3,5,24,29882
11,333924,2,236,0,1,4,5,3,26,8981
33,886897,3,323,0,0,2,6,2,27,1000
34,910140,2,214,2,1,4,6,2,33,1000
30,130098,3,349,0,0,2,4,4,18,1000
27,410427,4,500,2,0,3,5,4,16,1000
28,880770,3,326,2,0,4,6,5,22,1000
18,392316,3,277,2,1,3,5,0,30,7516
12,318407,5,500,2,1,2,3,2,14,24679
18,405466,4,451,2,0,4,7,4,19,12184
4,86949,1,117,1,0,4,4,4,32,23975
26,562723,3,304,2,0,5,3,4,26,1000
14,241730,3,370,2,1,5,7,2,19,23384
7,136010,2,289,2,1,3,8,1,26,38828
17,473192,2,267,1,0,4,2,4,29,1000
4,99048,4,490,2,0,4,5,2,18,50767
18,381044,1,200,0,1,4,5,1,34,1000
